Date,Sample.ID,PAM.ID,Resp.ID,Plate.ID,Chamber.ID,SDR,TemperatureCat,Type,Salinity,Run,Spat.ID.PAM,Spat.ID.Resp,Spat.Resp.ID,Volume,Size.mm2,Polyp.Number,Notes,Notes2,,,
20230510,Plate3-SpatC6,ETR16,SpatC6,Plate3,C6,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR16,,SDR-710-C6,0.00008,2.84,7,,,,,
20230510,Plate3-SpatD1,ETR17,SpatD1,Plate3,D1,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR17,,SDR-710-D1,0.00008,1.327,5,,,,,
20230510,Plate3-SpatD2,ETR18,SpatD2,Plate3,D2,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR18,,SDR-710-D2,0.00008,2.713,9,,,,,
20230510,Plate3-SpatD3,ETR19,SpatD3,Plate3,D3,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR19,,SDR-710-D3,0.00008,2.012. ,6,,,,,
20230510,Plate3-SpatD4,ETR20,SpatD4,Plate3,D4,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR20,,SDR-710-D4,0.00008,3.163,7,,,,,
20230510,Plate3-SpatD5,ETR21,SpatD5,Plate3,D5,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR21,,SDR-710-D5,0.00008,2.277,5,,,,,
20230510,Plate3-SpatD6,ETR22,SpatD6,Plate3,D6,SDR-710,23,Coral,39,Plate3,20230510_Plate3_ETR22,,SDR-710-D6,0.00008,1.915,5,,,,,
20230510,Plate4-SpatA1,ETR1,SpatA1,Plate4,A1,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR1,,SDR-710-A1,0.00008,1.408,1,,,,,
20230510,Plate4-SpatA2,ETR2,SpatA2,Plate4,A2,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR2,,SDR-710-A2,0.00008,2.022,4,,,,,
20230510,Plate4-SpatA3,ETR3,SpatA3,Plate4,A3,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR3,,SDR-710-A3,0.00008,3.659,10,,,,,
20230510,Plate4-SpatA4,ETR4,SpatA4,Plate4,A4,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR4,,SDR-710-A4,0.00008,4.014,10,,,,,
20230510,Plate4-SpatA5,ETR5,SpatA5,Plate4,A5,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR5,,SDR-710-A5,0.00008,3.5815,4,,,,,
20230510,Plate4-SpatA6,ETR6,SpatA6,Plate4,A6,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR6,,SDR-710-A6,0.00008,3.223,7,,,,,
20230510,Plate4-SpatB1,ETR7,SpatB1,Plate4,B1,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR7,,SDR-710-B1,0.00008,2.4885,1,,,,,
20230510,BLK-7,NA,BLK-7,Plate4,B2,SDR-710,23,Blank,39,Plate4,20230510_Plate4_NA,,SDR-710-B2,0.00008,NA,NA,,,,,
20230510,Plate4-SpatB3,ETR8,SpatB3,Plate4,B3,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR8,,SDR-710-B3,0.00008,3.5825,4,,,,,
20230510,Plate4-SpatB4,ETR9,SpatB4,Plate4,B4,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR9,,SDR-710-B4,0.00008,2.727,6,,,,,
20230510,Plate4-SpatB5,ETR10,SpatB5,Plate4,B5,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR10,,SDR-710-B5,0.00008,3.007,6,,,,,
20230510,Plate4-SpatB6,ETR11,SpatB6,Plate4,B6,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR11,,SDR-710-B6,0.00008,3.382,1,,,,,
20230510,Plate4-SpatC1,ETR12,SpatC1,Plate4,C1,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR12,,SDR-710-C1,0.00008,3.734,9,,,,,
20230510,Plate4-SpatC2,ETR13,SpatC2,Plate4,C2,SDR-710,23,Coral,39,Plate4,20230510_Plate4_ETR13,,SDR-710-C2,0.00008,2.199,5,,,,,
20230510,BLK-8,NA,BLK-8,Plate4,C3,SDR-710,23,Blank,39,Plate4,20230510_Plate4_NA,,SDR-710-C3,0.00008,NA,NA,,,,,
